"","Data Series","Total Electronic Products","Integrated Circuits","Parts Of Personal Computer","Disk Drives","Telecommunications Equipment","Consumer Electronics","Personal Computers","Parts Of Integrated Circuits","Diodes And Transistors","Non-Electronic Products","Electrical Circuit Apparatus","Electrical Machinery & Apparatus Nes"
"...16","2023 Oct","16382877","11379247.6","502746.5","150528.7","1845554.7","214412.6","358921.6","104236.6","1229138.6","7169028.1","534557.8","331456.9"
"...17","2023 Sep","16020180","11430214.8","483611.7","124635","1412300.3","205126.1","329904","95871.6","1270440.6","7401386.5","526386.1","364413.2"
"...18","2023 Aug","15575850.8","10974358.7","524618.3","120977.5","1335692.5","231855.9","360921","112541.1","1259561.8","6942063.3","559523.9","393193.8"
"...19","2023 Jul","15571438.2","10968137.1","489452.9","121348.9","1359944.6","211951.6","464943.6","130236.2","1246095.3","6829276","552823.4","411951.8"
"...20","2023 Jun","15288103.2","10708427.5","481379.4","130259.9","1531849.5","163505.6","382772.8","116059.7","1149282.6","6546321.6","583392.3","477880.5"
"...21","2023 May","12669662.7","8230990.9","550537.3","117342.6","1274618.3","170543.4","355587.4","113554.7","1228031.4","6951463.9","569725.4","457833.1"
"...22","2023 Apr","12463942.5","8106785.3","481505.7","151652.7","1391683.2","182235.1","395775.6","130936.7","1161324.6","5957976.9","535859.1","549973.5"
"...23","2023 Mar","14690426.6","10000728.9","515358.6","138038.9","1559673","190492.6","319323.2","153876.9","1178681.8","7009791.3","627103","443307.1"
"...24","2023 Feb","13196013.9","8653699.1","599899.6","126116.6","1524862.7","189169.5","328810.4","115549.5","1065409.6","6134505","573063.5","610213"
"...25","2023 Jan","14194061","9305729.5","539149.5","155350.3","1818481.9","189579.6","361011.9","113560.8","1097691.1","5652557.5","492483","559622.7"
"...26","2022 Dec","16076828","11386969.5","601257.1","111836.6","1509503.7","200336.1","287145.1","123096.5","1183480.8","6693628.5","551703.7","707798.9"
